Ticker,Name,"ISIN
"
FOX UW Equity,Fox Corp,US35137L2043
AMCR UN Equity,Amcor PLC,JE00BJ1F3079
NOW UN Equity,ServiceNow Inc,US81762P1021
JPM UN Equity,JPMorgan Chase & Co,US46625H1005
KO UN Equity,Coca-Cola Co/The,US1912161007
ABBV UN Equity,AbbVie Inc,US00287Y1091
CPAY UN Equity,Corpay Inc,US2199481068
EXR UN Equity,Extra Space Storage Inc,US30225T1025
JNJ UN Equity,Johnson & Johnson,US4781601046
MCD UN Equity,McDonald's Corp,US5801351017
MRK UN Equity,Merck & Co Inc,US58933Y1055
AWK UN Equity,American Water Works Co Inc,US0304201033
BAC UN Equity,Bank of America Corp,US0605051046
PFE UN Equity,Pfizer Inc,US7170811035
KMI UN Equity,Kinder Morgan Inc,US49456B1017
AIG UN Equity,American International Group Inc,US0268747849
HCA UN Equity,HCA Healthcare Inc,US40412C1018
IP UN Equity,International Paper Co,US4601461035
ADM UN Equity,Archer-Daniels-Midland Co,US0394831020
LIN UW Equity,Linde PLC,IE000S9YS762
AVY UN Equity,Avery Dennison Corp,US0536111091
MSCI UN Equity,MSCI Inc,US55354G1004
BALL UN Equity,Ball Corp,US0584981064
AXON UW Equity,Axon Enterprise Inc,US05464C1018
BRK/B UN Equity,Berkshire Hathaway Inc,US0846707026
BMY UN Equity,Bristol-Myers Squibb Co,US1101221083
CTRA UN Equity,Coterra Energy Inc,US1270971039
CCL UN Equity,Carnival Corp,PA1436583006
UDR UN Equity,UDR Inc,US9026531049
CL UN Equity,Colgate-Palmolive Co,US1941621039
EPAM UN Equity,EPAM Systems Inc,US29414B1044
ED UN Equity,Consolidated Edison Inc,US2091151041
GLW UN Equity,Corning Inc,US2193501051
CZR UW Equity,Caesars Entertainment Inc,US12769G1004
DHR UN Equity,Danaher Corp,US2358511028
D UN Equity,Dominion Energy Inc,US25746U1097
LNT UW Equity,Alliant Energy Corp,US0188021085
STLD UW Equity,Steel Dynamics Inc,US8581191009
REG UW Equity,Regency Centers Corp,US7588491032
ETN UN Equity,Eaton Corp PLC,IE00B8KQN827
ECL UN Equity,Ecolab Inc,US2788651006
RVTY UN Equity,Revvity Inc,US7140461093
EOG UN Equity,EOG Resources Inc,US26875P1012
AON UN Equity,Aon PLC,IE00BLP1HW54
ETR UN Equity,Entergy Corp,US29364G1031
EQT UN Equity,EQT Corp,US26884L1098
IT UN Equity,Gartner Inc,US3666511072
FMC UN Equity,FMC Corp,US3024913036
NEE UN Equity,NextEra Energy Inc,US65339F1012
GRMN UN Equity,Garmin Ltd,CH0114405324
FCX UN Equity,Freeport-McMoRan Inc,US35671D8570
GPC UN Equity,Genuine Parts Co,US3724601055
GWW UN Equity,WW Grainger Inc,US3848021040
LHX UN Equity,L3Harris Technologies Inc,US5024311095
PODD UW Equity,Insulet Corp,US45784P1012
HSY UN Equity,Hershey Co/The,US4278661081
CNP UN Equity,CenterPoint Energy Inc,US15189T1079
CDW UW Equity,CDW Corp/DE,US12514G1085
IPG UN Equity,Interpublic Group of Cos Inc/The,US4606901001
IFF UN Equity,International Flavors & Fragrances Inc,US4595061015
GNRC UN Equity,Generac Holdings Inc,US3687361044
NXPI UW Equity,NXP Semiconductors NV,NL0009538784
K UN Equity,Kellanova,US4878361082
LLY UN Equity,Eli Lilly & Co,US5324571083
IEX UN Equity,IDEX Corp,US45167R1041
VTRS UW Equity,Viatris Inc,US92556V1061
MSI UN Equity,Motorola Solutions Inc,US6200763075
CBOE UF Equity,Cboe Global Markets Inc,US12503M1080
NEM UN Equity,Newmont Corp,US6516391066
PFG UW Equity,Principal Financial Group Inc,US74251V1026
ES UN Equity,Eversource Energy,US30040W1080
NUE UN Equity,Nucor Corp,US6703461052
OKE UN Equity,ONEOK Inc,US6826801036
PCG UN Equity,PG&E Corp,US69331C1080
ROL UN Equity,Rollins Inc,US7757111049
PPL UN Equity,PPL Corp,US69351T1060
PNW UN Equity,Pinnacle West Capital Corp,US7234841010
PPG UN Equity,PPG Industries Inc,US6935061076
PEG UN Equity,Public Service Enterprise Group Inc,US7445731067
SCHW UN Equity,Charles Schwab Corp/The,US8085131055
SHW UN Equity,Sherwin-Williams Co/The,US8243481061
WST UN Equity,West Pharmaceutical Services Inc,US9553061055
SNA UN Equity,Snap-on Inc,US8330341012
AME UN Equity,AMETEK Inc,US0311001004
UBER UN Equity,Uber Technologies Inc,US90353T1007
SO UN Equity,Southern Co/The,US8425871071
SWK UN Equity,Stanley Black & Decker Inc,US8545021011
