Ticker,Name
TPL UN Equity,Texas Pacific Land Corp
CVX UN Equity,Chevron Corp
CPAY UN Equity,Corpay Inc
EXR UN Equity,Extra Space Storage Inc
PSX UN Equity,Phillips 66
IBM UN Equity,International Business Machines Corp
MCD UN Equity,McDonald's Corp
MRK UN Equity,Merck & Co Inc
AWK UN Equity,American Water Works Co Inc
PFE UN Equity,Pfizer Inc
MO UN Equity,Altria Group Inc
ABT UN Equity,Abbott Laboratories
SMCI UW Equity,Super Micro Computer Inc
HES UN Equity,Hess Corp
VRSK UW Equity,Verisk Analytics Inc
LIN UW Equity,Linde PLC
AVY UN Equity,Avery Dennison Corp
BALL UN Equity,Ball Corp
AXON UW Equity,Axon Enterprise Inc
BAX UN Equity,Baxter International Inc
BRK/B UN Equity,Berkshire Hathaway Inc
BSX UN Equity,Boston Scientific Corp
BLDR UN Equity,Builders FirstSource Inc
EPAM UN Equity,EPAM Systems Inc
ABNB UW Equity,Airbnb Inc
CZR UW Equity,Caesars Entertainment Inc
D UN Equity,Dominion Energy Inc
LNT UW Equity,Alliant Energy Corp
STLD UW Equity,Steel Dynamics Inc
ETN UN Equity,Eaton Corp PLC
ECL UN Equity,Ecolab Inc
RVTY UN Equity,Revvity Inc
EOG UN Equity,EOG Resources Inc
AON UN Equity,Aon PLC
ETR UN Equity,Entergy Corp
EQT UN Equity,EQT Corp
NEE UN Equity,NextEra Energy Inc
GRMN UN Equity,Garmin Ltd
GPC UN Equity,Genuine Parts Co
GWW UN Equity,WW Grainger Inc
PODD UW Equity,Insulet Corp
HSY UN Equity,Hershey Co/The
CNP UN Equity,CenterPoint Energy Inc
CDW UW Equity,CDW Corp/DE
IFF UN Equity,International Flavors & Fragrances Inc
NXPI UW Equity,NXP Semiconductors NV
K UN Equity,Kellanova
LLY UN Equity,Eli Lilly & Co
IEX UN Equity,IDEX Corp
VTRS UW Equity,Viatris Inc
MSI UN Equity,Motorola Solutions Inc
CBOE UF Equity,Cboe Global Markets Inc
NEM UN Equity,Newmont Corp
PFG UW Equity,Principal Financial Group Inc
NUE UN Equity,Nucor Corp
